"case","school","grade","female","ageyr","mo","agemo","visperc","cubes","frmbord","flags","geninfo","paracomp","sentcomp","wordclas","wordmean","addition","code","countdot","sccaps","wordrecg","numbrecg","figrrecg","objnumb","numbfig","figword","deduction","numbpuzz","probreas","series","woody"
1,0,7,1,13,1,157,20,31,12,NA,40,7,23,22,9,78,74,115,229,170,86,96,6,9,16,3,14,34,5,24
2,0,7,2,13,7,163,32,21,12,NA,34,5,12,22,9,87,84,125,285,184,85,100,12,12,10,-3,13,21,1,12
3,0,7,2,13,1,157,27,21,12,NA,20,3,7,12,3,75,49,78,159,170,85,95,1,5,6,-3,9,18,7,20
4,0,7,1,13,2,158,32,31,16,NA,42,8,18,21,17,69,65,106,175,181,80,91,5,3,10,-2,10,22,6,19
5,0,7,2,12,2,146,29,19,12,NA,37,8,16,25,18,85,63,126,213,187,99,104,15,14,14,29,15,19,4,20
6,0,7,2,14,1,169,32,20,11,NA,31,3,12,25,6,100,92,133,270,164,84,104,6,6,14,9,2,16,10,22
7,0,7,1,12,1,145,17,24,12,NA,40,10,24,32,20,108,65,124,175,121,71,78,4,3,5,18,10,19,3,15
8,0,7,2,12,2,146,34,25,13,NA,29,11,17,25,9,78,80,103,132,184,95,106,11,13,9,15,9,22,18,24
9,0,7,2,13,0,156,27,23,11,NA,29,8,23,19,19,104,52,93,265,184,91,105,18,6,11,12,15,18,17,18
11,0,7,2,12,5,149,21,21,10,NA,33,8,20,25,18,95,74,91,157,175,92,100,5,8,11,33,8,25,8,16
12,0,7,1,12,2,146,22,23,13,NA,38,6,14,22,11,86,60,114,155,173,86,107,9,9,13,10,9,19,5,24
13,0,7,1,12,11,155,35,24,15,NA,33,8,18,27,19,85,71,103,149,167,103,108,6,12,12,48,18,32,9,25
14,0,7,2,12,7,151,34,18,15,NA,33,8,16,31,16,135,68,104,211,166,92,103,8,12,18,21,13,22,21,27
15,0,7,2,12,8,152,36,22,16,NA,32,14,16,25,11,118,68,94,160,186,86,102,7,6,10,9,12,19,4,23
16,0,7,1,12,6,150,35,23,13,NA,54,15,22,27,21,92,64,87,211,168,84,102,5,4,8,36,15,34,35,32
17,0,7,2,12,1,145,28,19,13,NA,27,8,17,18,5,94,59,76,185,181,79,99,3,10,3,21,14,21,16,25
18,0,7,2,14,11,179,26,19,18,NA,35,6,16,24,9,85,58,133,189,164,84,100,13,12,7,5,5,16,8,18
19,0,7,1,13,5,161,30,27,17,NA,25,6,10,17,12,92,61,105,196,149,88,98,3,2,12,25,15,15,15,19
20,0,7,2,12,8,152,34,21,14,NA,62,13,21,34,26,90,94,97,207,171,74,107,3,2,14,48,23,47,36,27
21,0,7,2,12,3,147,38,35,13,NA,41,11,15,24,18,80,62,107,177,186,99,105,5,10,13,18,16,38,26,22
22,0,7,1,14,10,178,35,32,17,NA,22,5,10,20,4,60,44,92,194,169,96,96,8,7,10,54,15,19,23,19
23,0,7,1,12,9,153,40,34,16,NA,24,6,13,18,15,103,73,109,252,169,94,105,9,10,15,87,19,27,29,28
24,0,7,1,12,11,155,30,25,16,NA,37,10,23,25,22,80,62,92,180,166,83,101,8,4,15,27,13,21,8,19
25,0,7,2,12,8,152,23,22,15,NA,35,8,12,22,7,134,64,106,244,173,96,99,6,9,10,0,14,20,5,23
26,0,7,1,12,3,147,34,22,12,NA,45,7,15,27,9,108,60,92,149,154,92,106,9,5,7,30,13,22,12,20
27,0,7,1,12,7,151,32,16,16,NA,46,5,14,26,10,132,67,125,156,175,103,110,6,12,15,64,17,24,21,29
28,0,7,1,12,8,152,33,21,16,NA,18,8,9,20,5,95,67,102,163,190,97,106,12,10,20,48,14,24,24,27
29,0,7,2,13,2,158,36,20,18,NA,27,5,12,22,8,65,56,111,159,172,97,98,7,12,19,21,14,17,12,16
30,0,7,2,12,5,149,28,24,14,NA,31,6,12,21,14,118,90,117,310,196,94,101,10,12,14,10,13,20,18,27
31,0,7,2,12,2,146,30,18,13,NA,30,8,13,18,13,107,65,97,196,192,83,109,7,4,5,-3,11,20,13,20
33,0,7,2,12,7,151,21,23,14,NA,29,6,14,23,13,111,60,139,215,163,88,101,5,6,6,20,16,14,12,25
34,0,7,1,16,0,192,18,24,17,NA,29,5,12,18,7,47,31,73,121,159,84,92,3,3,4,1,1,18,9,17
35,0,7,2,12,2,146,30,21,12,NA,52,8,21,32,14,62,64,86,173,173,95,101,1,2,6,25,10,22,19,23
36,0,7,2,12,3,147,25,24,12,NA,44,10,17,25,13,124,86,87,203,182,92,96,14,10,14,11,15,27,20,22
38,0,7,2,13,3,159,20,15,13,NA,30,4,12,16,6,64,64,104,174,181,90,87,7,7,8,7,8,7,3,13
39,0,7,1,13,10,166,29,21,14,NA,32,5,19,23,10,72,42,75,177,176,87,87,3,4,11,27,17,21,9,18
40,0,7,1,12,9,153,33,28,15,NA,34,8,16,25,14,88,65,80,191,173,78,89,12,6,17,11,16,39,27,22
41,0,7,2,12,8,152,23,18,12,NA,35,9,12,24,12,94,50,70,183,154,96,87,3,18,8,24,12,17,14,22
42,0,7,2,12,6,150,38,16,9,NA,47,12,21,31,23,127,83,109,184,173,96,105,14,14,9,9,18,20,24,24
43,0,7,1,12,5,149,35,31,19,NA,58,9,21,28,22,74,69,90,176,172,79,105,3,6,14,9,11,41,28,19
44,0,7,2,12,1,145,23,23,14,NA,32,8,17,30,15,113,76,102,167,180,106,112,11,20,15,24,13,22,27,25
45,0,7,2,13,6,162,19,20,10,NA,39,5,17,19,11,65,56,106,172,155,77,97,6,5,14,24,10,18,9,18
46,0,7,2,13,8,164,11,21,9,NA,28,5,15,22,4,91,54,95,100,164,82,58,4,2,16,19,8,25,1,15
47,0,7,1,14,8,176,25,21,14,NA,27,6,12,22,10,91,38,112,240,178,100,103,6,7,10,27,13,20,27,19
48,0,7,1,14,2,170,38,22,13,NA,54,14,22,34,14,124,94,100,247,188,98,109,13,15,19,42,6,27,19,25
49,0,7,1,13,7,163,36,22,14,NA,27,9,17,23,9,111,76,100,180,180,100,100,7,6,4,21,6,25,23,18
50,0,7,1,13,5,161,43,34,18,NA,16,2,4,13,7,77,64,127,226,155,91,109,4,4,13,81,15,39,33,24
51,0,7,2,13,6,162,19,19,9,NA,30,8,13,23,9,141,48,160,196,191,93,96,8,7,8,9,12,18,5,25
52,0,7,1,12,11,155,26,22,11,NA,35,6,9,18,7,130,55,118,218,178,96,92,7,13,11,12,19,18,13,21
54,0,7,2,13,2,158,27,25,17,NA,40,11,22,31,15,59,66,96,199,184,68,102,2,15,14,-6,9,29,18,17
55,0,7,1,13,7,163,33,23,19,NA,16,5,9,20,1,54,53,101,198,170,94,95,7,5,9,28,13,13,19,23
56,0,7,1,12,4,148,42,24,16,NA,47,7,18,31,10,84,69,103,172,171,99,111,5,12,13,18,16,18,20,15
